itemId,userId,"itemType","itemStatus","itemName","itemUrlSegment","itemMimeType","itemContent",itemDeleted,"apiVersion","DateCreated","DateUpdated"
351,1,"file","inherit","regina","regina","image/jpeg","",0,"","2015-03-02 12:28:11","2017-08-12 02:47:24"
371,1,"file","inherit","Can't Tell Me Nothing","cant-tell-me-nothing","audio/mpeg","\"Can't Tell Me Nothing\" from Graduation by Kanye West. Released: 2007. Track 6. Genre: Hip-Hop.",0,"","2015-03-02 12:36:41","2017-08-12 02:47:24"
381,1,"file","inherit","","381","image/jpeg","",0,"","2015-03-02 12:36:41","2017-08-12 02:47:24"
401,1,"file","inherit","Can't Tell Me Nothing","cant-tell-me-nothing-2","audio/mpeg","\"Can't Tell Me Nothing\" from Graduation by Kanye West. Released: 2007. Track 6. Genre: Hip-Hop.",0,"","2015-03-02 14:40:58","2017-08-12 02:47:24"
411,1,"file","inherit","graduation","graduation","image/jpeg","",0,"","2015-03-02 14:40:59","2017-08-12 02:47:24"
431,1,"file","inherit","6","6","image/jpeg","",0,"","2015-03-02 16:24:30","2017-08-12 02:47:24"
451,1,"file","inherit","Imported 184518854","imported-184518854","audio/mpeg","",0,"","2015-03-02 16:27:23","2017-08-12 02:47:24"
471,1,"file","inherit","Can't Tell Me Nothing","cant-tell-me-nothing-3","audio/mpeg","\"Can't Tell Me Nothing\" from Graduation by Kanye West. Released: 2007. Track 6. Genre: Hip-Hop.",0,"","2015-03-02 23:29:59","2017-08-12 02:47:24"
481,1,"file","inherit","graduation","graduation-2","image/jpeg","",0,"","2015-03-02 23:30:00","2017-08-12 02:47:24"
531,1,"file","inherit","Imported 130475890","imported-130475890","audio/mpeg","",0,"","2015-03-03 16:46:41","2017-08-12 02:47:24"
571,1,"file","inherit","Stronger","stronger","audio/mpeg","\"Stronger\" from Graduation by Kanye West. Released: 2007. Track 3. Genre: Hip-Hop.",0,"","2015-03-03 17:21:13","2017-08-12 02:47:24"
581,1,"file","inherit","regina","regina-2","image/jpeg","",0,"","2015-03-03 17:21:15","2017-08-12 02:47:24"
621,1,"file","inherit","I Wonder","i-wonder","audio/mpeg","\"I Wonder\" from Graduation by Kanye West. Released: 2007. Track 4. Genre: Hip-Hop.",0,"","2015-03-03 18:17:28","2017-08-12 02:47:24"
661,1,"file","inherit","Flashing Lights (feat Dwele)","flashing-lights-feat-dwele","audio/mpeg","\"Flashing Lights (feat Dwele)\" from Graduation by Kanye West. Released: 2007. Track 9. Genre: Hip-Hop.",0,"","2015-03-03 18:29:25","2017-08-12 02:47:24"
741,1,"file","inherit","Can't Tell Me Nothing","cant-tell-me-nothing-4","audio/mpeg","\"Can't Tell Me Nothing\" from Graduation by Kanye West. Released: 2007. Track 6. Genre: Hip-Hop.",0,"","2015-03-03 22:08:27","2017-08-12 02:47:24"
751,1,"file","inherit","graduation","graduation-3","image/jpeg","",0,"","2015-03-03 22:08:28","2017-08-12 02:47:24"
831,1,"file","inherit","I Wonder","i-wonder-2","audio/mpeg","\"I Wonder\" from Graduation by Kanye West. Released: 2007. Track 4. Genre: Hip-Hop.",0,"","2015-03-03 23:51:35","2017-08-12 02:47:24"
841,1,"file","inherit","graduation","graduation-4","image/jpeg","",0,"","2015-03-03 23:51:35","2017-08-12 02:47:24"
1271,361,"file","inherit","IMG_0650","img_0650","image/jpeg","",0,"","2015-03-04 10:24:55","2017-08-12 02:47:24"
1361,1,"file","inherit","Big Brother","big-brother","audio/mpeg","\"Big Brother\" from Graduation by Kanye West. Released: 2007. Track 13. Genre: Hip-Hop.",0,"","2015-03-04 13:39:41","2017-08-12 02:47:24"
1371,1,"file","inherit","graduation","graduation-5","image/jpeg","",0,"","2015-03-04 13:39:41","2017-08-12 02:47:24"
1411,441,"file","inherit","IMG_20150204_114724","img_20150204_114724","image/jpeg","",0,"","2015-03-04 13:54:22","2017-08-12 02:47:24"
1561,1,"file","inherit","The Glory","the-glory","audio/mpeg","\"The Glory\" from Graduation by Kanye West. Released: 2007. Track 11. Genre: Hip-Hop.",0,"","2015-03-04 16:55:31","2017-08-12 02:47:24"
1571,1,"file","inherit","graduation","graduation-6","image/jpeg","",0,"","2015-03-04 16:55:32","2017-08-12 02:47:24"
1811,1,"file","inherit","Big Brother","big-brother-2","audio/mpeg","\"Big Brother\" from Graduation by Kanye West. Released: 2007. Track 13. Genre: Hip-Hop.",0,"","2015-03-05 01:57:01","2017-08-12 02:47:24"
1821,1,"file","inherit","graduation","graduation-7","image/jpeg","",0,"","2015-03-05 01:57:02","2017-08-12 02:47:24"
3111,1,"file","inherit","Stronger","stronger-2","audio/mpeg","\"Stronger\" from Graduation by Kanye West. Released: 2007. Track 3. Genre: Hip-Hop.",0,"","2015-03-07 04:49:43","2017-08-12 02:47:24"
3131,1,"file","inherit","logo","logo","image/png","",0,"","2015-03-07 22:36:21","2017-08-12 02:47:24"
3181,1,"file","inherit","steve_3","steve_3","image/jpeg","",0,"","2015-03-07 23:00:02","2017-08-12 02:47:24"
