itemId,userId,"itemType","itemStatus","itemName","itemUrlSegment","itemMimeType","itemContent",itemDeleted,"apiVersion","DateCreated","DateUpdated"
90,1,"profilePage","publish","alex","alex","","",0,"","2015-01-18 05:40:58","2017-08-12 02:46:43"
771,71,"profilePage","publish","brandi","brandi","","",0,"","2015-03-03 22:20:24","2017-08-12 02:46:43"
791,91,"profilePage","publish","john","john","","",0,"","2015-03-03 22:32:19","2017-08-12 02:46:43"
811,101,"profilePage","publish","jack","jack","","",0,"","2015-03-03 22:40:05","2017-08-12 02:46:43"
861,111,"profilePage","publish","latoria","latoria","","",0,"","2015-03-03 23:58:51","2017-08-12 02:46:43"
881,121,"profilePage","publish","nick","nick","","",0,"","2015-03-03 23:59:16","2017-08-12 02:46:43"
901,131,"profilePage","publish","noel","noel","","",0,"","2015-03-04 00:06:51","2017-08-12 02:46:43"
921,151,"profilePage","publish","lakshmi","lakshmi","","",0,"","2015-03-04 00:12:07","2017-08-12 02:46:43"
941,161,"profilePage","publish","todd","todd","","",0,"","2015-03-04 00:20:57","2017-08-12 02:46:43"
971,171,"profilePage","publish","narayanaswamy","narayanaswamy","","",0,"","2015-03-04 00:26:17","2017-08-12 02:46:43"
1011,181,"profilePage","publish","rajan","rajan","","",0,"","2015-03-04 00:34:06","2017-08-12 02:46:43"
1031,191,"profilePage","publish","priya","priya","","",0,"","2015-03-04 00:38:53","2017-08-12 02:46:43"
1051,0,"profilePage","publish","daniel","daniel","","",0,"","2015-03-04 01:01:01","2017-08-12 02:46:43"
1061,241,"profilePage","publish","vicky","vicky","","",0,"","2015-03-04 02:09:16","2017-08-12 02:46:43"
1091,261,"profilePage","publish","chris","chris","","",0,"","2015-03-04 04:02:36","2017-08-12 02:46:43"
1111,271,"profilePage","publish","ken","ken","","",0,"","2015-03-04 06:13:49","2017-08-12 02:46:43"
1131,281,"profilePage","publish","michelle","michelle","","",0,"","2015-03-04 07:07:26","2017-08-12 02:46:43"
