itemId,userId,"itemType","itemStatus","itemName","itemUrlSegment","itemMimeType","itemContent",itemDeleted,"apiVersion","DateCreated","DateUpdated"
3071,1,"userTrack","pending","test back","","","Donec ullamcorper nulla non metus auctor fringilla. Nulla vitae elit libero, a pharetra augue. Etiam porta sem malesuada magna mollis euismod.",0,"","2015-03-07 00:26:26","2017-08-12 02:46:43"
3221,1,"userTrack","draft","High fashion queen (cover)","high-fashion-queen","","none",0,"","2015-03-12 16:31:13","2017-08-12 02:44:18"
3281,1,"userTrack","draft","Wayfaring Stranger","wayfaring-stranger-2","","none",0,"","2015-03-12 16:32:05","2017-08-12 02:44:18"
3711,1,"userTrack","draft","The Hypocrisy of our Democracy","hypocrisy-democracy","","none",0,"","2015-03-12 16:31:50","2017-08-12 02:44:18"
3871,1,"userTrack","draft","Sunk In Lies","sunk-lies","","none",0,"","2015-03-12 16:31:40","2017-08-12 02:44:18"
7371,1,"userTrack","draft","Blessings (remix)","blessings-remix","","none",0,"","2015-03-12 16:30:47","2017-08-12 02:44:18"
7411,1,"userTrack","draft","Empty Story","empty-story","","none",0,"","2015-03-12 16:31:05","2017-08-12 02:44:18"
7461,1,"userTrack","draft","Thinking about you","thinking","","none",0,"","2015-03-12 16:31:57","2017-08-12 02:44:18"
7541,1,"userTrack","draft","Stuck","stuck-2","","none",0,"","2015-03-12 16:31:31","2017-08-12 02:44:18"
7751,1,"userTrack","draft","Recess ft. Tyler Priola","recess-ft-tyler-priola-2","","none",0,"","2015-03-12 16:31:22","2017-08-12 02:44:18"
7981,1,"userTrack","draft","Counting Stars","counting-stars-2","","none",0,"","2015-03-12 16:30:56","2017-08-12 02:44:18"
12446,622,"userTrack","draft","Catch Up","catch","","none",0,"","2015-03-15 18:32:58","2017-08-12 02:44:18"
12506,625,"userTrack","draft","Angel","","","none",0,"","2015-03-15 20:52:23","2017-08-12 02:44:18"
12509,626,"userTrack","pending","miss you","","","nice work alex hang on to your freaking goals &lt;3 kz",0,"","2015-03-15 21:49:17","2017-08-12 02:46:43"
12518,628,"userTrack","draft","Bounce","","","none",0,"","2015-03-17 08:26:13","2017-08-12 02:44:18"
12536,0,"userTrack","draft","TEMPTITLE","","","none",0,"","2015-03-17 20:22:55","2017-08-12 02:44:18"
12542,631,"userTrack","draft","Yung Switcha- Tryna Get It (prod. by the beat plug)","","","none",0,"","2015-03-18 09:50:49","2017-08-12 02:44:18"
12544,631,"userTrack","draft","Yung Switcha- Tryna Get It (prod. by the beat plug)","","","none",0,"","2015-03-18 09:50:52","2017-08-12 02:44:18"
12553,633,"userTrack","draft","Between Saturday &amp; Sunday","","","none",0,"","2015-03-18 14:05:07","2017-08-12 02:44:18"
12556,633,"userTrack","publish","Between Saturday &amp; Sunday","between-saturday-sunday-3","","none",0,"","2015-03-18 15:09:22","2017-08-12 02:44:18"
12559,1,"userTrack","draft","ytkckytc","","","none",0,"","2015-03-18 15:53:21","2017-08-12 02:44:18"
12562,1,"userTrack","draft","VACA RELA CREA TIONS","","","none",0,"","2015-03-18 22:29:12","2017-08-12 02:44:18"
12566,0,"userTrack","draft","Fallen Soldier","","","none",0,"","2015-03-18 23:23:48","2017-08-12 02:44:18"
12672,649,"userTrack","draft","Stumbling Through The Crowd","","","none",0,"","2015-04-27 19:25:49","2017-08-12 02:44:18"
12675,649,"userTrack","draft","Stumbling Through The Crowd","","","none",0,"","2015-04-27 19:26:21","2017-08-12 02:44:18"
12685,1,"userTrack","draft","How Bout You","how-bout-you-2","","none",0,"","2015-05-09 22:04:20","2017-08-12 02:44:18"
12688,1,"userTrack","draft","these days","these-days-2","","none",0,"","2015-05-09 22:09:53","2017-08-12 02:44:18"
12691,720,"userTrack","publish","Breathe","breathe-2","","none",0,"","2015-05-09 22:15:26","2017-08-12 02:44:18"
12700,1,"userTrack","draft","Evoke","evoke-2","","none",0,"","2015-05-09 22:18:15","2017-08-12 02:44:18"
12709,1,"userTrack","draft","Lost In The Sewer","lost-in-the-sewer-2","","none",0,"","2015-05-09 22:23:00","2017-08-12 02:44:18"
